Date,Tweet,roberta_negative,roberta_neutral,roberta_positive
2022-09-29 23:41:16+00:00,"Mainstream media has done an amazing job at brainwashing people. Today at work, we were asked what companies we believe in &amp; I said @Tesla because they make the safest cars &amp; EVERYONE disagreed with me because they heard“they catch on fire &amp; the batteries cost 20k to replace”",0.5289791,0.35103184,0.11998906
2022-09-29 23:24:43+00:00,Tesla delivery estimates are at around 364k from the analysts. $tsla,0.012934364,0.7191466,0.26791906
2022-09-29 23:18:08+00:00,"3/ Even if I include 63.0M unvested RSUs as of 6/30, additional equity needed for the RSUs is 63.0M x $54.20 = $3.4B. If the deal closed tomorrow at $54.20, Elon would need $2.0B for existing shares plus $3.4B for RSUs, so $5.4B new equity. $twtr $tsla",0.098908864,0.8381527,0.062938415
2022-09-29 22:40:07+00:00,"@RealDanODowd @WholeMarsBlog @Tesla Hahaha why are you still trying to stop Tesla FSD bro! Get your shit together and make something better? Thats how companies work, they competed. Crying big old ass fart clown!",0.9134758,0.075686306,0.010837908
2022-09-29 22:27:05+00:00,"@RealDanODowd @Tesla Stop trying to kill kids, you sad deranged old man",0.9715955,0.02624389,0.0021606034
2022-09-29 22:25:53+00:00,@RealDanODowd @Tesla This is you https://t.co/3Ml1XawSEb,0.04543885,0.85517037,0.09939076
2022-09-29 22:24:22+00:00,"For years @WholeMarsBlog viciously silenced @Tesla critics. Failing to silence me, he desperately lashes out  with childish insults about me, my company, my products - and even my 💩! His fear and impotence spurs me on to ensure that everyone understands Full Self-Driving is💩. https://t.co/lw84VzwW5U",0.9090053,0.082539685,0.008455038
2022-09-29 22:23:54+00:00,"$NIO just because I'm down money doesn't mean this is a bad investment. The whole market, everything sucks right now. 2-5 years from now, I'm confident it will pay off. Long the best $AAPL $AMZN $TSLA $GOOGL $NIO",0.33074716,0.39927673,0.26997608
2022-09-29 22:23:28+00:00,"50 likes for some $SPY $TSLA charts to study!

❤️",0.0018040163,0.13552226,0.8626737
2022-09-29 22:15:01+00:00,"@MrJames__321 @KellyRoofing @TeslaSolar @elonmusk @Tesla The powerwalls themselves are waterproof, but what could be bad is any wiring in the house that could be damaged.",0.5674428,0.38492095,0.047636256
2022-09-29 21:58:00+00:00,"Tomorrow, Tesla, $TSLA, AI day 2 is ongoing.

Unusual Whales is bringing some Tesla experts to discuss what to expect and $TSLA generally.

Join below to prepare before the event at 6:55PM EST:

https://t.co/hObh7OdVs5",0.0067875944,0.57659376,0.41661865
2022-09-29 21:33:05+00:00,Powerwall FTW! https://t.co/GWAaXXCrYv,0.027727656,0.76063824,0.21163417
2022-09-29 21:11:30+00:00,"$TSLAQ: Tesla’s dead in Europe! Everyone else is passing $TSLA in the EU now in EV unit sales! If you don’t believe us, go to eu-evs and see for yourself!

Me: &lt;goes to eu-evs&gt; 🧐 https://t.co/GAyiZAKF56",0.45424408,0.4343347,0.11142126
2022-09-29 21:00:25+00:00,The irony is so thick you can cut it with a knife. @Tesla https://t.co/8CihPdpns7,0.5795935,0.34986562,0.07054091
2022-09-29 20:15:41+00:00,Tesla AI day in 24 hours. Are you ready? $TSLA rocks big time. https://t.co/GxtdO2utB4,0.0014905022,0.0521758,0.94633377
2022-09-29 19:38:29+00:00,Picked up some $TSLA shares at $269 https://t.co/4UQVchSs2R,0.009072483,0.80409336,0.18683413
2022-09-29 19:36:59+00:00,"2/ Even if @elonmusk loses the $TWTR trial (would more likely settle at $51-$52/share), Elon would only have to raise $2-$3B more from $TSLA sales (raised $15B equity) to fund the equity needed to complete the deal, assuming the $7B 3P equity and $13B debt financing still intact. https://t.co/PqtHF2sSmJ",0.07201418,0.8187489,0.10923691
